"Estado","Total","a�o","sexo","Instituci�n","numerocasos"
"Chiapas",163,"2007","F","SEDENA","0"
"Chihuahua",199,"2007","F","SEDENA","0"
"Distrito Federal",260,"2007","F","SEDENA","4"
"Durango",3385,"2007","F","SEDENA","1"
"Guanajuato",17448,"2007","F","SEDENA","47"
"Guerrero",19657,"2007","F","SEDENA","45"
"Hidalgo",95,"2007","F","SEDENA","0"
"Jalisco",28038,"2007","F","SEDENA","21"
"México",3269,"2007","F","SEDENA","1"
"Michoacán",13920,"2007","F","SEDENA","34"
"Morelos",15950,"2007","F","SEDENA","34"
"Nayarit",7192,"2007","F","SEDENA","6"
"Nuevo León",124,"2007","F","SEDENA","0"
"Oaxaca",3214,"2007","F","SEDENA","4"
"Puebla",7933,"2007","F","SEDENA","0"
"Querétaro",1929,"2007","F","SEDENA","N.A."
"Quintana Roo",52,"2007","F","SEDENA","0"
"San Luis Potosí",242,"2007","F","SEDENA","0"
"Sinaloa",4284,"2007","F","SEDENA","11"
"Sonora",2782,"2007","F","SEDENA","7"
"Tabasco",21,"2007","F","SEDENA","2"
"Tamaulipas",183,"2007","F","SEDENA","0"
"Tlaxcala",27,"2007","F","SEDENA","0"
"Veracruz",176,"2007","F","SEDENA","0"
"Yucatán",45,"2007","F","SEDENA","0"
"Zacatecas",1956,"2007","F","SEDENA","3"
"Aguascalientes",993,"2007","F","SEMAR","N.A."
"Baja California",75,"2007","F","SEMAR","0"
"Baja California Sur",77,"2007","F","SEMAR","0"
"Campeche",30,"2007","F","SEMAR","0"
"Coahuila",107,"2007","F","SEMAR","N.A."
"Colima",4539,"2007","F","SEMAR","37"
"Chiapas",163,"2007","F","SEMAR","10"
"Chihuahua",199,"2007","F","SEMAR","N.A."
"Distrito Federal",260,"2007","F","SEMAR","1"
"Durango",3385,"2007","F","SEMAR","N.A."
"Guanajuato",17448,"2007","F","SEMAR","N.A."
"Guerrero",19657,"2007","F","SEMAR","11"
"Hidalgo",95,"2007","F","SEMAR","N.A."
"Jalisco",28038,"2007","F","SEMAR","3"
"México",3269,"2007","F","SEMAR","N.A."
"Michoacán",13920,"2007","F","SEMAR","4"
"Morelos",15950,"2007","F","SEMAR","N.A."
"Nayarit",7192,"2007","F","SEMAR","1"
"Nuevo León",124,"2007","F","SEMAR","N.A."
"Oaxaca",3214,"2007","F","SEMAR","15"
"Puebla",7933,"2007","F","SEMAR","N.A."
"Querétaro",1929,"2007","F","SEMAR","N.A."
"Quintana Roo",52,"2007","F","SEMAR","0"
"San Luis Potosí",242,"2007","F","SEMAR","N.A."
"Sinaloa",4284,"2007","F","SEMAR","14"
"Sonora",2782,"2007","F","SEMAR","1"
"Tabasco",21,"2007","F","SEMAR","0"
"Tamaulipas",183,"2007","F","SEMAR","0"
"Tlaxcala",27,"2007","F","SEMAR","N.A."
"Veracruz",176,"2007","F","SEMAR","0"
"Yucatán",45,"2007","F","SEMAR","0"
"Zacatecas",1956,"2007","F","SEMAR","N.A."
"Aguascalientes",993,"2007","F","Otras","0"
"Baja California",75,"2007","F","Otras","17"
"Baja California Sur",77,"2007","F","Otras","N.A."
"Campeche",30,"2007","F","Otras","0"
"Coahuila",107,"2007","F","Otras","9"
"Colima",4539,"2007","F","Otras","28"
"Chiapas",163,"2007","F","Otras","5"
"Chihuahua",199,"2007","F","Otras","5"
"Distrito Federal",260,"2007","F","Otras","12"
"Durango",3385,"2007","F","Otras","3"
"Guanajuato",17448,"2007","F","Otras","3794"
"Guerrero",19657,"2007","F","Otras","0"
"Hidalgo",95,"2007","F","Otras","3"
"Jalisco",28038,"2007","F","Otras","2555"
"México",3269,"2007","F","Otras","158"
"Michoacán",13920,"2007","F","Otras","N.A."
"Morelos",15950,"2007","F","Otras","N.A."
"Nayarit",7192,"2007","F","Otras","14"
"Nuevo León",124,"2007","F","Otras","14"
"Oaxaca",3214,"2007","F","Otras","13"
"Puebla",7933,"2007","F","Otras","43"
"Querétaro",1929,"2007","F","Otras","39"
"Quintana Roo",52,"2007","F","Otras","N.A."
"San Luis Potosí",242,"2007","F","Otras","8"
"Sinaloa",4284,"2007","F","Otras","349"
"Sonora",2782,"2007","F","Otras","103"
"Tabasco",21,"2007","F","Otras","1"
"Tamaulipas",183,"2007","F","Otras","7"
"Tlaxcala",27,"2007","F","Otras","0"
"Veracruz",176,"2007","F","Otras","N.A."
"Yucatán",45,"2007","F","Otras","0"
"Zacatecas",1956,"2007","F","Otras","0"
"Aguascalientes",986,"2008","F","SALUD","970"
"Baja California",86,"2008","F","SALUD","21"
"Baja California Sur",66,"2008","F","SALUD","47"
"Campeche",61,"2008","F","SALUD","43"
"Coahuila",108,"2008","F","SALUD","57"
"Colima",4773,"2008","F","SALUD","3506"
"Chiapas",222,"2008","F","SALUD","122"
"Chihuahua",224,"2008","F","SALUD","82"
"Distrito Federal",269,"2008","F","SALUD","198"
"Durango",3234,"2008","F","SALUD","2694"
"Guanajuato",15221,"2008","F","SALUD","8461"
"Guerrero",20498,"2008","F","SALUD","17139"
"Hidalgo",125,"2008","F","SALUD","117"
"Jalisco",26897,"2008","F","SALUD","18910"
"México",4164,"2008","F","SALUD","3939"
"Michoacán",15871,"2008","F","SALUD","8869"
"Morelos",15336,"2008","F","SALUD","11750"
"Nayarit",6880,"2008","F","SALUD","4735"
"Nuevo León",134,"2008","F","SALUD","39"
"Oaxaca",3331,"2008","F","SALUD","2090"
"Puebla",8209,"2008","F","SALUD","5648"
"Querétaro",2369,"2008","F","SALUD","668"
"Quintana Roo",55,"2008","F","SALUD","28"
"San Luis Potosí",239,"2008","F","SALUD","80"
"Sinaloa",4662,"2008","F","SALUD","2127"
"Sonora",2592,"2008","F","SALUD","1741"
"Tabasco",33,"2008","F","SALUD","16"
"Tamaulipas",182,"2008","F","SALUD","98"
"Tlaxcala",31,"2008","F","SALUD","28"
"Veracruz",149,"2008","F","SALUD","85"
"Yucatán",34,"2008","F","SALUD","6"
"Zacatecas",2055,"2008","F","SALUD","1520"
"Aguascalientes",986,"2008","F","IMSS-ORD","16"
"Baja California",86,"2008","F","IMSS-ORD","47"
"Baja California Sur",66,"2008","F","IMSS-ORD","8"
"Campeche",61,"2008","F","IMSS-ORD","11"
"Coahuila",108,"2008","F","IMSS-ORD","35"
"Colima",4773,"2008","F","IMSS-ORD","1133"
"Chiapas",222,"2008","F","IMSS-ORD","28"
"Chihuahua",224,"2008","F","IMSS-ORD","47"
"Distrito Federal",269,"2008","F","IMSS-ORD","15"
"Durango",3234,"2008","F","IMSS-ORD","43"
"Guanajuato",15221,"2008","F","IMSS-ORD","3359"
"Guerrero",20498,"2008","F","IMSS-ORD","2639"
"Hidalgo",125,"2008","F","IMSS-ORD","0"
"Jalisco",26897,"2008","F","IMSS-ORD","5538"
"México",4164,"2008","F","IMSS-ORD","28"
"Michoacán",15871,"2008","F","IMSS-ORD","2811"
"Morelos",15336,"2008","F","IMSS-ORD","2799"
"Nayarit",6880,"2008","F","IMSS-ORD","462"
"Nuevo León",134,"2008","F","IMSS-ORD","70"
"Oaxaca",3331,"2008","F","IMSS-ORD","103"
"Puebla",8209,"2008","F","IMSS-ORD","513"
"Querétaro",2369,"2008","F","IMSS-ORD","1596"
"Quintana Roo",55,"2008","F","IMSS-ORD","21"
"San Luis Potosí",239,"2008","F","IMSS-ORD","98"
"Sinaloa",4662,"2008","F","IMSS-ORD","878"
"Sonora",2592,"2008","F","IMSS-ORD","642"
"Tabasco",33,"2008","F","IMSS-ORD","14"
"Tamaulipas",182,"2008","F","IMSS-ORD","43"
"Tlaxcala",31,"2008","F","IMSS-ORD","3"
"Veracruz",149,"2008","F","IMSS-ORD","39"
"Yucatán",34,"2008","F","IMSS-ORD","15"
"Zacatecas",2055,"2008","F","IMSS-ORD","50"
"Aguascalientes",986,"2008","F","ISSSTE","0"
"Baja California",86,"2008","F","ISSSTE","2"
"Baja California Sur",66,"2008","F","ISSSTE","10"
"Campeche",61,"2008","F","ISSSTE","5"
"Coahuila",108,"2008","F","ISSSTE","3"
"Colima",4773,"2008","F","ISSSTE","42"
"Chiapas",222,"2008","F","ISSSTE","30"
"Chihuahua",224,"2008","F","ISSSTE","4"
"Distrito Federal",269,"2008","F","ISSSTE","41"
"Durango",3234,"2008","F","ISSSTE","1"
"Guanajuato",15221,"2008","F","ISSSTE","261"
"Guerrero",20498,"2008","F","ISSSTE","697"
"Hidalgo",125,"2008","F","ISSSTE","0"
"Jalisco",26897,"2008","F","ISSSTE","59"
"México",4164,"2008","F","ISSSTE","10"
"Michoacán",15871,"2008","F","ISSSTE","401"
"Morelos",15336,"2008","F","ISSSTE","708"
"Nayarit",6880,"2008","F","ISSSTE","89"
"Nuevo León",134,"2008","F","ISSSTE","2"
"Oaxaca",3331,"2008","F","ISSSTE","95"
"Puebla",8209,"2008","F","ISSSTE","60"
"Querétaro",2369,"2008","F","ISSSTE","65"
"Quintana Roo",55,"2008","F","ISSSTE","6"
"San Luis Potosí",239,"2008","F","ISSSTE","5"
"Sinaloa",4662,"2008","F","ISSSTE","106"
"Sonora",2592,"2008","F","ISSSTE","54"
"Tabasco",33,"2008","F","ISSSTE","3"
"Tamaulipas",182,"2008","F","ISSSTE","7"
"Tlaxcala",31,"2008","F","ISSSTE","0"
"Veracruz",149,"2008","F","ISSSTE","0"
"Yucatán",34,"2008","F","ISSSTE","0"
"Zacatecas",2055,"2008","F","ISSSTE","3"
"Aguascalientes",986,"2008","F","IMSS-OP","N.A."
"Baja California",86,"2008","F","IMSS-OP","0"
"Baja California Sur",66,"2008","F","IMSS-OP","N.A."
"Campeche",61,"2008","F","IMSS-OP","2"
"Coahuila",108,"2008","F","IMSS-OP","8"
"Colima",4773,"2008","F","IMSS-OP","N.A."
"Chiapas",222,"2008","F","IMSS-OP","34"
"Chihuahua",224,"2008","F","IMSS-OP","84"
"Distrito Federal",269,"2008","F","IMSS-OP","0"
"Durango",3234,"2008","F","IMSS-OP","494"
"Guanajuato",15221,"2008","F","IMSS-OP","0"
"Guerrero",20498,"2008","F","IMSS-OP","0"
"Hidalgo",125,"2008","F","IMSS-OP","5"
"Jalisco",26897,"2008","F","IMSS-OP","3"
"México",4164,"2008","F","IMSS-OP","1"
"Michoacán",15871,"2008","F","IMSS-OP","3752"
"Morelos",15336,"2008","F","IMSS-OP","11"
"Nayarit",6880,"2008","F","IMSS-OP","1574"
"Nuevo León",134,"2008","F","IMSS-OP","0"
"Oaxaca",3331,"2008","F","IMSS-OP","1014"
"Puebla",8209,"2008","F","IMSS-OP","1959"
"Querétaro",2369,"2008","F","IMSS-OP","0"
"Quintana Roo",55,"2008","F","IMSS-OP","N.A."
"San Luis Potosí",239,"2008","F","IMSS-OP","48"
"Sinaloa",4662,"2008","F","IMSS-OP","1128"
"Sonora",2592,"2008","F","IMSS-OP","0"
"Tabasco",33,"2008","F","IMSS-OP","N.A."
"Tamaulipas",182,"2008","F","IMSS-OP","16"
"Tlaxcala",31,"2008","F","IMSS-OP","0"
"Veracruz",149,"2008","F","IMSS-OP","23"
"Yucatán",34,"2008","F","IMSS-OP","13"
"Zacatecas",2055,"2008","F","IMSS-OP","478"
"Aguascalientes",986,"2008","F","DIF","0"
"Baja California",86,"2008","F","DIF","N.A."
"Baja California Sur",66,"2008","F","DIF","N.A."
"Campeche",61,"2008","F","DIF","0"
"Coahuila",108,"2008","F","DIF","0"
"Colima",4773,"2008","F","DIF","0"
"Chiapas",222,"2008","F","DIF","N.A."
"Chihuahua",224,"2008","F","DIF","N.A."
"Distrito Federal",269,"2008","F","DIF","0"
"Durango",3234,"2008","F","DIF","0"
"Guanajuato",15221,"2008","F","DIF","N.A."
"Guerrero",20498,"2008","F","DIF","N.A."
"Hidalgo",125,"2008","F","DIF","0"
"Jalisco",26897,"2008","F","DIF","0"
"México",4164,"2008","F","DIF","9"
"Michoacán",15871,"2008","F","DIF","N.A."
"Morelos",15336,"2008","F","DIF","N.A."
"Nayarit",6880,"2008","F","DIF","10"
"Nuevo León",134,"2008","F","DIF","N.A."
"Oaxaca",3331,"2008","F","DIF","5"
"Puebla",8209,"2008","F","DIF","0"
"Querétaro",2369,"2008","F","DIF","0"
"Quintana Roo",55,"2008","F","DIF","N.A."
"San Luis Potosí",239,"2008","F","DIF","N.A."
"Sinaloa",4662,"2008","F","DIF","13"
"Sonora",2592,"2008","F","DIF","N.A."
"Tabasco",33,"2008","F","DIF","N.A."
"Tamaulipas",182,"2008","F","DIF","1"
"Tlaxcala",31,"2008","F","DIF","0"
"Veracruz",149,"2008","F","DIF","0"
"Yucatán",34,"2008","F","DIF","0"
"Zacatecas",2055,"2008","F","DIF","0"
"Aguascalientes",986,"2008","F","PEMEX","N.A."
"Baja California",86,"2008","F","PEMEX","N.A."
"Baja California Sur",66,"2008","F","PEMEX","N.A."
"Campeche",61,"2008","F","PEMEX","0"
"Coahuila",108,"2008","F","PEMEX","N.A."
"Colima",4773,"2008","F","PEMEX","N.A."
"Chiapas",222,"2008","F","PEMEX","0"
"Chihuahua",224,"2008","F","PEMEX","N.A."
"Distrito Federal",269,"2008","F","PEMEX","0"
"Durango",3234,"2008","F","PEMEX","N.A."
"Guanajuato",15221,"2008","F","PEMEX","20"
"Guerrero",20498,"2008","F","PEMEX","N.A."
"Hidalgo",125,"2008","F","PEMEX","0"
"Jalisco",26897,"2008","F","PEMEX","0"
"México",4164,"2008","F","PEMEX","N.A."
"Michoacán",15871,"2008","F","PEMEX","N.A."
"Morelos",15336,"2008","F","PEMEX","N.A."
"Nayarit",6880,"2008","F","PEMEX","N.A."
"Nuevo León",134,"2008","F","PEMEX","0"
"Oaxaca",3331,"2008","F","PEMEX","0"
"Puebla",8209,"2008","F","PEMEX","0"
"Querétaro",2369,"2008","F","PEMEX","N.A."
"Quintana Roo",55,"2008","F","PEMEX","N.A."
"San Luis Potosí",239,"2008","F","PEMEX","0"
"Sinaloa",4662,"2008","F","PEMEX","0"
"Sonora",2592,"2008","F","PEMEX","N.A."
"Tabasco",33,"2008","F","PEMEX","0"
"Tamaulipas",182,"2008","F","PEMEX","2"
"Tlaxcala",31,"2008","F","PEMEX","N.A."
"Veracruz",149,"2008","F","PEMEX","0"
"Yucatán",34,"2008","F","PEMEX","N.A."
"Zacatecas",2055,"2008","F","PEMEX","N.A."
"Aguascalientes",986,"2008","F","SEDENA","0"
"Baja California",86,"2008","F","SEDENA","0"
"Baja California Sur",66,"2008","F","SEDENA","0"
"Campeche",61,"2008","F","SEDENA","0"
"Coahuila",108,"2008","F","SEDENA","0"
"Colima",4773,"2008","F","SEDENA","2"
"Chiapas",222,"2008","F","SEDENA","0"
"Chihuahua",224,"2008","F","SEDENA","0"
"Distrito Federal",269,"2008","F","SEDENA","4"
"Durango",3234,"2008","F","SEDENA","0"
"Guanajuato",15221,"2008","F","SEDENA","30"
"Guerrero",20498,"2008","F","SEDENA","20"
"Hidalgo",125,"2008","F","SEDENA","0"
"Jalisco",26897,"2008","F","SEDENA","3"
"México",4164,"2008","F","SEDENA","0"
"Michoacán",15871,"2008","F","SEDENA","35"
"Morelos",15336,"2008","F","SEDENA","68"
"Nayarit",6880,"2008","F","SEDENA","3"
"Nuevo León",134,"2008","F","SEDENA","0"
"Oaxaca",3331,"2008","F","SEDENA","3"
"Puebla",8209,"2008","F","SEDENA","0"
"Querétaro",2369,"2008","F","SEDENA","0"
"Quintana Roo",55,"2008","F","SEDENA","0"
"San Luis Potosí",239,"2008","F","SEDENA","0"
"Sinaloa",4662,"2008","F","SEDENA","3"
"Sonora",2592,"2008","F","SEDENA","3"
"Tabasco",33,"2008","F","SEDENA","0"
"Tamaulipas",182,"2008","F","SEDENA","3"
"Tlaxcala",31,"2008","F","SEDENA","0"
"Veracruz",149,"2008","F","SEDENA","2"
"Yucatán",34,"2008","F","SEDENA","0"
"Zacatecas",2055,"2008","F","SEDENA","4"
"Aguascalientes",986,"2008","F","SEMAR","N.A."
"Baja California",86,"2008","F","SEMAR","1"
"Baja California Sur",66,"2008","F","SEMAR","1"
"Campeche",61,"2008","F","SEMAR","0"
"Coahuila",108,"2008","F","SEMAR","N.A."
"Colima",4773,"2008","F","SEMAR","29"
"Chiapas",222,"2008","F","SEMAR","1"
"Chihuahua",224,"2008","F","SEMAR","N.A."
"Distrito Federal",269,"2008","F","SEMAR","1"
"Durango",3234,"2008","F","SEMAR","N.A."
"Guanajuato",15221,"2008","F","SEMAR","N.A."
"Guerrero",20498,"2008","F","SEMAR","3"
"Hidalgo",125,"2008","F","SEMAR","N.A."
"Jalisco",26897,"2008","F","SEMAR","0"
"México",4164,"2008","F","SEMAR","N.A."
"Michoacán",15871,"2008","F","SEMAR","3"
"Morelos",15336,"2008","F","SEMAR","N.A."
"Nayarit",6880,"2008","F","SEMAR","1"
"Nuevo León",134,"2008","F","SEMAR","N.A."
"Oaxaca",3331,"2008","F","SEMAR","17"
"Puebla",8209,"2008","F","SEMAR","N.A."
"Querétaro",2369,"2008","F","SEMAR","N.A."
"Quintana Roo",55,"2008","F","SEMAR","0"
"San Luis Potosí",239,"2008","F","SEMAR","N.A."
"Sinaloa",4662,"2008","F","SEMAR","13"
"Sonora",2592,"2008","F","SEMAR","0"
"Tabasco",33,"2008","F","SEMAR","0"
"Tamaulipas",182,"2008","F","SEMAR","0"
"Tlaxcala",31,"2008","F","SEMAR","N.A."
"Veracruz",149,"2008","F","SEMAR","0"
"Yucatán",34,"2008","F","SEMAR","0"
"Zacatecas",2055,"2008","F","SEMAR","N.A."
"Aguascalientes",986,"2008","F","Otras","0"
"Baja California",86,"2008","F","Otras","15"
"Baja California Sur",66,"2008","F","Otras","N.A."
"Campeche",61,"2008","F","Otras","0"
"Coahuila",108,"2008","F","Otras","5"
"Colima",4773,"2008","F","Otras","61"
"Chiapas",222,"2008","F","Otras","7"
"Chihuahua",224,"2008","F","Otras","7"
"Distrito Federal",269,"2008","F","Otras","10"
"Durango",3234,"2008","F","Otras","2"
"Guanajuato",15221,"2008","F","Otras","3090"
"Guerrero",20498,"2008","F","Otras","N.A."
"Hidalgo",125,"2008","F","Otras","3"
"Jalisco",26897,"2008","F","Otras","2384"
"México",4164,"2008","F","Otras","177"
"Michoacán",15871,"2008","F","Otras","N.A."
"Morelos",15336,"2008","F","Otras","N.A."
"Nayarit",6880,"2008","F","Otras","6"
"Nuevo León",134,"2008","F","Otras","23"
"Oaxaca",3331,"2008","F","Otras","4"
"Puebla",8209,"2008","F","Otras","29"
"Querétaro",2369,"2008","F","Otras","40"
"Quintana Roo",55,"2008","F","Otras","N.A."
"San Luis Potosí",239,"2008","F","Otras","8"
"Sinaloa",4662,"2008","F","Otras","394"
"Sonora",2592,"2008","F","Otras","152"
"Tabasco",33,"2008","F","Otras","0"
"Tamaulipas",182,"2008","F","Otras","12"
"Tlaxcala",31,"2008","F","Otras","0"
"Veracruz",149,"2008","F","Otras","N.A."
"Yucatán",34,"2008","F","Otras","0"
"Zacatecas",2055,"2008","F","Otras","0"
"Aguascalientes",973,"2009","F","Salud","947"
"Baja California",108,"2009","F","Salud","37"
"Baja California Sur",47,"2009","F","Salud","28"
"Campeche",55,"2009","F","Salud","29"
"Coahuila",119,"2009","F","Salud","56"
"Colima",4685,"2009","F","Salud","3503"
"Chiapas",240,"2009","F","Salud","92"
"Chihuahua",219,"2009","F","Salud","87"
"Distrito Federal",246,"2009","F","Salud","185"
"Durango",3106,"2009","F","Salud","2536"
"Guanajuato",14169,"2009","F","Salud","10878"
"Guerrero",23845,"2009","F","Salud","19980"
"Hidalgo",116,"2009","F","Salud","95"
"Jalisco",27475,"2009","F","Salud","18932"
"México",4629,"2009","F","Salud","4431"
"Michoacán",16910,"2009","F","Salud","9023"
"Morelos",16394,"2009","F","Salud","12803"
"Nayarit",6995,"2009","F","Salud","4711"
"Nuevo León",171,"2009","F","Salud","38"
"Oaxaca",3318,"2009","F","Salud","1953"
"Puebla",8289,"2009","F","Salud","5531"
"Querétaro",2096,"2009","F","Salud","580"
"Quintana Roo",108,"2009","F","Salud","51"
"San Luis Potosí",170,"2009","F","Salud","54"
"Sinaloa",4956,"2009","F","Salud","2016"
"Sonora",2647,"2009","F","Salud","1688"
"Tabasco",24,"2009","F","Salud","12"
"Tamaulipas",190,"2009","F","Salud","115"
"Tlaxcala",35,"2009","F","Salud","26"
"Veracruz",162,"2009","F","Salud","64"
"Yucatán",27,"2009","F","Salud","4"
"Zacatecas",1916,"2009","F","Salud","1321"
"Aguascalientes",973,"2009","F","IMSS-ORD","21"
"Baja California",108,"2009","F","IMSS-ORD","49"
"Baja California Sur",47,"2009","F","IMSS-ORD","14"
"Campeche",55,"2009","F","IMSS-ORD","11"
"Coahuila",119,"2009","F","IMSS-ORD","49"
"Colima",4685,"2009","F","IMSS-ORD","1078"
"Chiapas",240,"2009","F","IMSS-ORD","57"
"Chihuahua",219,"2009","F","IMSS-ORD","39"
"Distrito Federal",246,"2009","F","IMSS-ORD","15"
"Durango",3106,"2009","F","IMSS-ORD","37"
"Guanajuato",14169,"2009","F","IMSS-ORD","360"
"Guerrero",23845,"2009","F","IMSS-ORD","3115"
"Hidalgo",116,"2009","F","IMSS-ORD","0"
"Jalisco",27475,"2009","F","IMSS-ORD","6313"
"México",4629,"2009","F","IMSS-ORD","44"
"Michoacán",16910,"2009","F","IMSS-ORD","3027"
"Morelos",16394,"2009","F","IMSS-ORD","2984"
"Nayarit",6995,"2009","F","IMSS-ORD","634"
"Nuevo León",171,"2009","F","IMSS-ORD","114"
"Oaxaca",3318,"2009","F","IMSS-ORD","116"
"Puebla",8289,"2009","F","IMSS-ORD","534"
"Querétaro",2096,"2009","F","IMSS-ORD","1410"
"Quintana Roo",108,"2009","F","IMSS-ORD","46"
"San Luis Potosí",170,"2009","F","IMSS-ORD","64"
"Sinaloa",4956,"2009","F","IMSS-ORD","1281"
"Sonora",2647,"2009","F","IMSS-ORD","757"
"Tabasco",24,"2009","F","IMSS-ORD","10"
"Tamaulipas",190,"2009","F","IMSS-ORD","51"
"Tlaxcala",35,"2009","F","IMSS-ORD","9"
"Veracruz",162,"2009","F","IMSS-ORD","68"
"Yucatán",27,"2009","F","IMSS-ORD","0"
"Zacatecas",1916,"2009","F","IMSS-ORD","54"
"Aguascalientes",973,"2009","F","ISSSTE","0"
"Baja California",108,"2009","F","ISSSTE","1"
"Baja California Sur",47,"2009","F","ISSSTE","5"
"Campeche",55,"2009","F","ISSSTE","8"
"Coahuila",119,"2009","F","ISSSTE","0"
"Colima",4685,"2009","F","ISSSTE","47"
"Chiapas",240,"2009","F","ISSSTE","47"
"Chihuahua",219,"2009","F","ISSSTE","4"
"Distrito Federal",246,"2009","F","ISSSTE","37"
"Durango",3106,"2009","F","ISSSTE","5"
"Guanajuato",14169,"2009","F","ISSSTE","171"
"Guerrero",23845,"2009","F","ISSSTE","702"
"Hidalgo",116,"2009","F","ISSSTE","0"
"Jalisco",27475,"2009","F","ISSSTE","16"
"México",4629,"2009","F","ISSSTE","7"
"Michoacán",16910,"2009","F","ISSSTE","462"
"Morelos",16394,"2009","F","ISSSTE","527"
"Nayarit",6995,"2009","F","ISSSTE","72"
"Nuevo León",171,"2009","F","ISSSTE","0"
"Oaxaca",3318,"2009","F","ISSSTE","123"
"Puebla",8289,"2009","F","ISSSTE","33"
"Querétaro",2096,"2009","F","ISSSTE","64"
"Quintana Roo",108,"2009","F","ISSSTE","10"
"San Luis Potosí",170,"2009","F","ISSSTE","8"
"Sinaloa",4956,"2009","F","ISSSTE","142"
"Sonora",2647,"2009","F","ISSSTE","82"
"Tabasco",24,"2009","F","ISSSTE","1"
"Tamaulipas",190,"2009","F","ISSSTE","1"
"Tlaxcala",35,"2009","F","ISSSTE","0"
"Veracruz",162,"2009","F","ISSSTE","3"
"Yucatán",27,"2009","F","ISSSTE","3"
"Zacatecas",1916,"2009","F","ISSSTE","9"
"Aguascalientes",973,"2009","F","IMSS-OP","S/R"
"Baja California",108,"2009","F","IMSS-OP","2"
"Baja California Sur",47,"2009","F","IMSS-OP","S/R"
"Campeche",55,"2009","F","IMSS-OP","6"
"Coahuila",119,"2009","F","IMSS-OP","9"
"Colima",4685,"2009","F","IMSS-OP","S/R"
"Chiapas",240,"2009","F","IMSS-OP","44"
"Chihuahua",219,"2009","F","IMSS-OP","77"
"Distrito Federal",246,"2009","F","IMSS-OP","0"
"Durango",3106,"2009","F","IMSS-OP","527"
"Guanajuato",14169,"2009","F","IMSS-OP","1"
"Guerrero",23845,"2009","F","IMSS-OP","6"
"Hidalgo",116,"2009","F","IMSS-OP","20"
"Jalisco",27475,"2009","F","IMSS-OP","3"
"México",4629,"2009","F","IMSS-OP","2"
"Michoacán",16910,"2009","F","IMSS-OP","4356"
"Morelos",16394,"2009","F","IMSS-OP","5"
"Nayarit",6995,"2009","F","IMSS-OP","1528"
"Nuevo León",171,"2009","F","IMSS-OP","0"
"Oaxaca",3318,"2009","F","IMSS-OP","1103"
"Puebla",8289,"2009","F","IMSS-OP","2168"
"Querétaro",2096,"2009","F","IMSS-OP","0"
"Quintana Roo",108,"2009","F","IMSS-OP","S/R"
"San Luis Potosí",170,"2009","F","IMSS-OP","35"
"Sinaloa",4956,"2009","F","IMSS-OP","1092"
"Sonora",2647,"2009","F","IMSS-OP","1"
"Tabasco",24,"2009","F","IMSS-OP","S/R"
"Tamaulipas",190,"2009","F","IMSS-OP","18"
"Tlaxcala",35,"2009","F","IMSS-OP","0"
"Veracruz",162,"2009","F","IMSS-OP","22"
"Yucatán",27,"2009","F","IMSS-OP","20"
"Zacatecas",1916,"2009","F","IMSS-OP","532"
"Aguascalientes",973,"2009","F","DIF","0"
"Baja California",108,"2009","F","DIF","S/R"
"Baja California Sur",47,"2009","F","DIF","S/R"
"Campeche",55,"2009","F","DIF","0"
"Coahuila",119,"2009","F","DIF","0"
"Colima",4685,"2009","F","DIF","0"
"Chiapas",240,"2009","F","DIF","S/R"
"Chihuahua",219,"2009","F","DIF","S/R"
"Distrito Federal",246,"2009","F","DIF","1"
"Durango",3106,"2009","F","DIF","0"
"Guanajuato",14169,"2009","F","DIF","S/R"
"Guerrero",23845,"2009","F","DIF","S/R"
"Hidalgo",116,"2009","F","DIF","0"
"Jalisco",27475,"2009","F","DIF","0"
"México",4629,"2009","F","DIF","1"
"Michoacán",16910,"2009","F","DIF","S/R"
"Morelos",16394,"2009","F","DIF","S/R"
"Nayarit",6995,"2009","F","DIF","31"
"Nuevo León",171,"2009","F","DIF","S/R"
"Oaxaca",3318,"2009","F","DIF","0"
"Puebla",8289,"2009","F","DIF","0"
"Querétaro",2096,"2009","F","DIF","2"
"Quintana Roo",108,"2009","F","DIF","S/R"
"San Luis Potosí",170,"2009","F","DIF","S/R"
"Sinaloa",4956,"2009","F","DIF","13"
"Sonora",2647,"2009","F","DIF","S/R"
"Tabasco",24,"2009","F","DIF","S/R"
"Tamaulipas",190,"2009","F","DIF","0"
"Tlaxcala",35,"2009","F","DIF","0"
"Veracruz",162,"2009","F","DIF","0"
"Yucatán",27,"2009","F","DIF","0"
"Zacatecas",1916,"2009","F","DIF","0"
"Aguascalientes",973,"2009","F","PEMEX","S/R"
"Baja California",108,"2009","F","PEMEX","S/R"
"Baja California Sur",47,"2009","F","PEMEX","S/R"
"Campeche",55,"2009","F","PEMEX","0"
"Coahuila",119,"2009","F","PEMEX","S/R"
"Colima",4685,"2009","F","PEMEX","S/R"
"Chiapas",240,"2009","F","PEMEX","0"
"Chihuahua",219,"2009","F","PEMEX","S/R"
"Distrito Federal",246,"2009","F","PEMEX","0"
"Durango",3106,"2009","F","PEMEX","S/R"
"Guanajuato",14169,"2009","F","PEMEX","16"
"Guerrero",23845,"2009","F","PEMEX","S/R"
"Hidalgo",116,"2009","F","PEMEX","0"
"Jalisco",27475,"2009","F","PEMEX","0"
