"Estado","a�o","sexo","cortes.edad","numerocasos"
"Yucatán","2012","F","01-abr",2
"Zacatecas","2012","F","01-abr",114
"Aguascalientes","2012","F","05-sep",96
"Baja California","2012","F","05-sep",3
"Baja California Sur","2012","F","05-sep",4
"Campeche","2012","F","05-sep",0
"Coahuila","2012","F","05-sep",6
"Colima","2012","F","05-sep",325
"Chiapas","2012","F","05-sep",5
"Chihuahua","2012","F","05-sep",24
"Distrito Federal","2012","F","05-sep",19
"Durango","2012","F","05-sep",312
"Guanajuato","2012","F","05-sep",1879
"Guerrero","2012","F","05-sep",2904
"Hidalgo","2012","F","05-sep",10
"Jalisco","2012","F","05-sep",2343
"México","2012","F","05-sep",592
"Michoacán","2012","F","05-sep",1553
"Morelos","2012","F","05-sep",1566
"Nayarit","2012","F","05-sep",651
"Nuevo León","2012","F","05-sep",7
"Oaxaca","2012","F","05-sep",239
"Puebla","2012","F","05-sep",678
"Querétaro","2012","F","05-sep",175
"Quintana Roo","2012","F","05-sep",5
"San Luis Potosí","2012","F","05-sep",12
"Sinaloa","2012","F","05-sep",424
"Sonora","2012","F","05-sep",349
"Tabasco","2012","F","05-sep",3
"Tamaulipas","2012","F","05-sep",25
"Tlaxcala","2012","F","05-sep",1
"Veracruz","2012","F","05-sep",9
"Yucatán","2012","F","05-sep",2
"Zacatecas","2012","F","05-sep",157
"Aguascalientes","2012","F","oct-14",151
"Baja California","2012","F","oct-14",9
"Baja California Sur","2012","F","oct-14",6
"Campeche","2012","F","oct-14",3
"Coahuila","2012","F","oct-14",13
"Colima","2012","F","oct-14",403
"Chiapas","2012","F","oct-14",13
"Chihuahua","2012","F","oct-14",26
"Distrito Federal","2012","F","oct-14",37
"Durango","2012","F","oct-14",417
"Guanajuato","2012","F","oct-14",2234
"Guerrero","2012","F","oct-14",3141
"Hidalgo","2012","F","oct-14",19
"Jalisco","2012","F","oct-14",2782
"México","2012","F","oct-14",694
"Michoacán","2012","F","oct-14",1853
"Morelos","2012","F","oct-14",1798
"Nayarit","2012","F","oct-14",718
"Nuevo León","2012","F","oct-14",7
"Oaxaca","2012","F","oct-14",278
"Puebla","2012","F","oct-14",780
"Querétaro","2012","F","oct-14",216
"Quintana Roo","2012","F","oct-14",4
"San Luis Potosí","2012","F","oct-14",20
"Sinaloa","2012","F","oct-14",472
"Sonora","2012","F","oct-14",372
"Tabasco","2012","F","oct-14",2
"Tamaulipas","2012","F","oct-14",18
"Tlaxcala","2012","F","oct-14",3
"Veracruz","2012","F","oct-14",8
"Yucatán","2012","F","oct-14",4
"Zacatecas","2012","F","oct-14",181
"Aguascalientes","2012","F","15 - 19",175
"Baja California","2012","F","15 - 19",9
"Baja California Sur","2012","F","15 - 19",11
"Campeche","2012","F","15 - 19",4
"Coahuila","2012","F","15 - 19",9
"Colima","2012","F","15 - 19",624
"Chiapas","2012","F","15 - 19",24
"Chihuahua","2012","F","15 - 19",31
"Distrito Federal","2012","F","15 - 19",34
"Durango","2012","F","15 - 19",546
"Guanajuato","2012","F","15 - 19",2220
"Guerrero","2012","F","15 - 19",3502
"Hidalgo","2012","F","15 - 19",12
"Jalisco","2012","F","15 - 19",2954
"México","2012","F","15 - 19",707
"Michoacán","2012","F","15 - 19",2196
"Morelos","2012","F","15 - 19",1986
"Nayarit","2012","F","15 - 19",916
"Nuevo León","2012","F","15 - 19",13
"Oaxaca","2012","F","15 - 19",366
"Puebla","2012","F","15 - 19",944
"Querétaro","2012","F","15 - 19",304
"Quintana Roo","2012","F","15 - 19",6
"San Luis Potosí","2012","F","15 - 19",23
"Sinaloa","2012","F","15 - 19",589
"Sonora","2012","F","15 - 19",416
"Tabasco","2012","F","15 - 19",1
"Tamaulipas","2012","F","15 - 19",29
"Tlaxcala","2012","F","15 - 19",2
"Veracruz","2012","F","15 - 19",20
"Yucatán","2012","F","15 - 19",1
"Zacatecas","2012","F","15 - 19",200
"Aguascalientes","2012","F","20 - 24",142
"Baja California","2012","F","20 - 24",9
"Baja California Sur","2012","F","20 - 24",14
"Campeche","2012","F","20 - 24",7
"Coahuila","2012","F","20 - 24",22
"Colima","2012","F","20 - 24",595
"Chiapas","2012","F","20 - 24",24
"Chihuahua","2012","F","20 - 24",22
"Distrito Federal","2012","F","20 - 24",25
"Durango","2012","F","20 - 24",484
"Guanajuato","2012","F","20 - 24",2165
"Guerrero","2012","F","20 - 24",2992
"Hidalgo","2012","F","20 - 24",12
"Jalisco","2012","F","20 - 24",3058
"México","2012","F","20 - 24",597
"Michoacán","2012","F","20 - 24",2132
"Morelos","2012","F","20 - 24",1883
"Nayarit","2012","F","20 - 24",811
"Nuevo León","2012","F","20 - 24",21
"Oaxaca","2012","F","20 - 24",294
"Puebla","2012","F","20 - 24",946
"Querétaro","2012","F","20 - 24",330
"Quintana Roo","2012","F","20 - 24",12
"San Luis Potosí","2012","F","20 - 24",34
"Sinaloa","2012","F","20 - 24",636
"Sonora","2012","F","20 - 24",391
"Tabasco","2012","F","20 - 24",11
"Tamaulipas","2012","F","20 - 24",35
"Tlaxcala","2012","F","20 - 24",7
"Veracruz","2012","F","20 - 24",17
"Yucatán","2012","F","20 - 24",5
"Zacatecas","2012","F","20 - 24",201
"Aguascalientes","2012","F","25 - 44",313
"Baja California","2012","F","25 - 44",22
"Baja California Sur","2012","F","25 - 44",34
"Campeche","2012","F","25 - 44",15
"Coahuila","2012","F","25 - 44",57
"Colima","2012","F","25 - 44",1771
"Chiapas","2012","F","25 - 44",71
"Chihuahua","2012","F","25 - 44",85
"Distrito Federal","2012","F","25 - 44",65
"Durango","2012","F","25 - 44",1192
"Guanajuato","2012","F","25 - 44",5787
"Guerrero","2012","F","25 - 44",7808
"Hidalgo","2012","F","25 - 44",49
"Jalisco","2012","F","25 - 44",8125
"México","2012","F","25 - 44",1321
"Michoacán","2012","F","25 - 44",4805
"Morelos","2012","F","25 - 44",4519
"Nayarit","2012","F","25 - 44",2071
"Nuevo León","2012","F","25 - 44",48
"Oaxaca","2012","F","25 - 44",808
"Puebla","2012","F","25 - 44",2063
"Querétaro","2012","F","25 - 44",1090
"Quintana Roo","2012","F","25 - 44",16
"San Luis Potosí","2012","F","25 - 44",71
"Sinaloa","2012","F","25 - 44",1741
"Sonora","2012","F","25 - 44",1048
"Tabasco","2012","F","25 - 44",20
"Tamaulipas","2012","F","25 - 44",107
"Tlaxcala","2012","F","25 - 44",11
"Veracruz","2012","F","25 - 44",40
"Yucatán","2012","F","25 - 44",15
"Zacatecas","2012","F","25 - 44",494
"Aguascalientes","2012","F","45 - 49",56
"Baja California","2012","F","45 - 49",1
"Baja California Sur","2012","F","45 - 49",2
"Campeche","2012","F","45 - 49",5
"Coahuila","2012","F","45 - 49",8
"Colima","2012","F","45 - 49",237
"Chiapas","2012","F","45 - 49",10
"Chihuahua","2012","F","45 - 49",19
"Distrito Federal","2012","F","45 - 49",16
"Durango","2012","F","45 - 49",255
"Guanajuato","2012","F","45 - 49",955
"Guerrero","2012","F","45 - 49",1398
"Hidalgo","2012","F","45 - 49",10
"Jalisco","2012","F","45 - 49",1374
"México","2012","F","45 - 49",227
"Michoacán","2012","F","45 - 49",926
"Morelos","2012","F","45 - 49",815
"Nayarit","2012","F","45 - 49",399
"Nuevo León","2012","F","45 - 49",9
"Oaxaca","2012","F","45 - 49",215
"Puebla","2012","F","45 - 49",462
"Querétaro","2012","F","45 - 49",179
"Quintana Roo","2012","F","45 - 49",6
"San Luis Potosí","2012","F","45 - 49",14
"Sinaloa","2012","F","45 - 49",325
"Sonora","2012","F","45 - 49",184
"Tabasco","2012","F","45 - 49",1
"Tamaulipas","2012","F","45 - 49",22
"Tlaxcala","2012","F","45 - 49",1
"Veracruz","2012","F","45 - 49",10
"Yucatán","2012","F","45 - 49",1
"Zacatecas","2012","F","45 - 49",108
"Aguascalientes","2012","F","50 - 59",94
"Baja California","2012","F","50 - 59",5
"Baja California Sur","2012","F","50 - 59",5
"Campeche","2012","F","50 - 59",4
"Coahuila","2012","F","50 - 59",5
"Colima","2012","F","50 - 59",470
"Chiapas","2012","F","50 - 59",19
"Chihuahua","2012","F","50 - 59",11
"Distrito Federal","2012","F","50 - 59",24
"Durango","2012","F","50 - 59",295
"Guanajuato","2012","F","50 - 59",1424
"Guerrero","2012","F","50 - 59",2169
"Hidalgo","2012","F","50 - 59",13
"Jalisco","2012","F","50 - 59",2060
"México","2012","F","50 - 59",346
"Michoacán","2012","F","50 - 59",1222
"Morelos","2012","F","50 - 59",1264
"Nayarit","2012","F","50 - 59",561
"Nuevo León","2012","F","50 - 59",16
"Oaxaca","2012","F","50 - 59",264
"Puebla","2012","F","50 - 59",663
"Querétaro","2012","F","50 - 59",278
"Quintana Roo","2012","F","50 - 59",5
"San Luis Potosí","2012","F","50 - 59",21
"Sinaloa","2012","F","50 - 59",543
"Sonora","2012","F","50 - 59",345
"Tabasco","2012","F","50 - 59",7
"Tamaulipas","2012","F","50 - 59",26
"Tlaxcala","2012","F","50 - 59",4
"Veracruz","2012","F","50 - 59",26
"Yucatán","2012","F","50 - 59",2
"Zacatecas","2012","F","50 - 59",162
"Aguascalientes","2012","F","60 - 64",29
"Baja California","2012","F","60 - 64",2
"Baja California Sur","2012","F","60 - 64",3
"Campeche","2012","F","60 - 64",3
"Coahuila","2012","F","60 - 64",0
"Colima","2012","F","60 - 64",131
"Chiapas","2012","F","60 - 64",6
"Chihuahua","2012","F","60 - 64",7
"Distrito Federal","2012","F","60 - 64",9
"Durango","2012","F","60 - 64",121
"Guanajuato","2012","F","60 - 64",446
"Guerrero","2012","F","60 - 64",789
"Hidalgo","2012","F","60 - 64",4
"Jalisco","2012","F","60 - 64",693
"México","2012","F","60 - 64",109
"Michoacán","2012","F","60 - 64",499
"Morelos","2012","F","60 - 64",404
"Nayarit","2012","F","60 - 64",222
"Nuevo León","2012","F","60 - 64",5
"Oaxaca","2012","F","60 - 64",112
"Puebla","2012","F","60 - 64",299
"Querétaro","2012","F","60 - 64",81
"Quintana Roo","2012","F","60 - 64",0
"San Luis Potosí","2012","F","60 - 64",7
"Sinaloa","2012","F","60 - 64",224
"Sonora","2012","F","60 - 64",105
"Tabasco","2012","F","60 - 64",1
"Tamaulipas","2012","F","60 - 64",7
"Tlaxcala","2012","F","60 - 64",2
"Veracruz","2012","F","60 - 64",5
"Yucatán","2012","F","60 - 64",2
"Zacatecas","2012","F","60 - 64",75
"Aguascalientes","2012","F","65 y +",72
"Baja California","2012","F","65 y +",2
"Baja California Sur","2012","F","65 y +",2
"Campeche","2012","F","65 y +",9
"Coahuila","2012","F","65 y +",0
"Colima","2012","F","65 y +",301
"Chiapas","2012","F","65 y +",7
"Chihuahua","2012","F","65 y +",18
"Distrito Federal","2012","F","65 y +",9
"Durango","2012","F","65 y +",219
"Guanajuato","2012","F","65 y +",944
"Guerrero","2012","F","65 y +",1764
"Hidalgo","2012","F","65 y +",11
"Jalisco","2012","F","65 y +",1367
"México","2012","F","65 y +",294
"Michoacán","2012","F","65 y +",901
"Morelos","2012","F","65 y +",840
"Nayarit","2012","F","65 y +",406
"Nuevo León","2012","F","65 y +",7
"Oaxaca","2012","F","65 y +",317
"Puebla","2012","F","65 y +",722
"Querétaro","2012","F","65 y +",163
"Quintana Roo","2012","F","65 y +",2
"San Luis Potosí","2012","F","65 y +",24
"Sinaloa","2012","F","65 y +",398
"Sonora","2012","F","65 y +",203
"Tabasco","2012","F","65 y +",0
"Tamaulipas","2012","F","65 y +",24
"Tlaxcala","2012","F","65 y +",3
"Veracruz","2012","F","65 y +",13
"Yucatán","2012","F","65 y +",2
"Zacatecas","2012","F","65 y +",176
"Aguascalientes","2012","F","Ign.",0
"Baja California","2012","F","Ign.",0
"Baja California Sur","2012","F","Ign.",0
"Campeche","2012","F","Ign.",0
"Coahuila","2012","F","Ign.",0
"Colima","2012","F","Ign.",136
"Chiapas","2012","F","Ign.",0
"Chihuahua","2012","F","Ign.",0
"Distrito Federal","2012","F","Ign.",0
"Durango","2012","F","Ign.",0
"Guanajuato","2012","F","Ign.",12
"Guerrero","2012","F","Ign.",14
"Hidalgo","2012","F","Ign.",0
"Jalisco","2012","F","Ign.",46
"México","2012","F","Ign.",252
"Michoacán","2012","F","Ign.",3
"Morelos","2012","F","Ign.",10
"Nayarit","2012","F","Ign.",2
"Nuevo León","2012","F","Ign.",0
"Oaxaca","2012","F","Ign.",2
"Puebla","2012","F","Ign.",6
"Querétaro","2012","F","Ign.",0
"Quintana Roo","2012","F","Ign.",2
"San Luis Potosí","2012","F","Ign.",0
"Sinaloa","2012","F","Ign.",5
"Sonora","2012","F","Ign.",2
"Tabasco","2012","F","Ign.",0
"Tamaulipas","2012","F","Ign.",1
"Tlaxcala","2012","F","Ign.",0
"Veracruz","2012","F","Ign.",0
"Yucatán","2012","F","Ign.",0
"Zacatecas","2012","F","Ign.",3
"Aguascalientes","2012","F","Total",1192
"Baja California","2012","F","Total",69
"Baja California Sur","2012","F","Total",89
"Campeche","2012","F","Total",52
"Coahuila","2012","F","Total",129
"Colima","2012","F","Total",5313
"Chiapas","2012","F","Total",187
"Chihuahua","2012","F","Total",276
"Distrito Federal","2012","F","Total",247
"Durango","2012","F","Total",4109
"Guanajuato","2012","F","Total",19510
"Guerrero","2012","F","Total",29002
"Hidalgo","2012","F","Total",148
"Jalisco","2012","F","Total",26757
"México","2012","F","Total",5685
"Michoacán","2012","F","Total",17603
"Morelos","2012","F","Total",16313
"Nayarit","2012","F","Total",7281
"Nuevo León","2012","F","Total",139
"Oaxaca","2012","F","Total",3092
"Puebla","2012","F","Total",8068
"Querétaro","2012","F","Total",2971
"Quintana Roo","2012","F","Total",62
"San Luis Potosí","2012","F","Total",237
"Sinaloa","2012","F","Total",5716
"Sonora","2012","F","Total",3724
"Tabasco","2012","F","Total",50
"Tamaulipas","2012","F","Total",323
"Tlaxcala","2012","F","Total",36
"Veracruz","2012","F","Total",159
"Yucatán","2012","F","Total",36
"Zacatecas","2012","F","Total",1876
"Aguascalientes","2013","F","<1",9
"Baja California","2013","F","<1",2
"Baja California Sur","2013","F","<1",1
"Campeche","2013","F","<1",0
"Coahuila","2013","F","<1",0
"Colima","2013","F","<1",22
"Chiapas","2013","F","<1",0
"Chihuahua","2013","F","<1",6
"Distrito Federal","2013","F","<1",3
"Durango","2013","F","<1",37
"Guanajuato","2013","F","<1",104
"Guerrero","2013","F","<1",169
"Hidalgo","2013","F","<1",0
"Jalisco","2013","F","<1",153
"México","2013","F","<1",29
"Michoacán","2013","F","<1",104
"Morelos","2013","F","<1",38
"Nayarit","2013","F","<1",127
"Nuevo León","2013","F","<1",1
"Oaxaca","2013","F","<1",13
"Puebla","2013","F","<1",32
"Querétaro","2013","F","<1",8
"Quintana Roo","2013","F","<1",1
"San Luis Potosí","2013","F","<1",2
"Sinaloa","2013","F","<1",31
"Sonora","2013","F","<1",32
"Tabasco","2013","F","<1",0
"Tamaulipas","2013","F","<1",0
"Tlaxcala","2013","F","<1",0
"Veracruz","2013","F","<1",2
"Yucatán","2013","F","<1",0
"Zacatecas","2013","F","<1",11
"Aguascalientes","2013","F","01-abr",64
"Baja California","2013","F","01-abr",10
"Baja California Sur","2013","F","01-abr",2
"Campeche","2013","F","01-abr",0
"Coahuila","2013","F","01-abr",7
"Colima","2013","F","01-abr",257
"Chiapas","2013","F","01-abr",6
"Chihuahua","2013","F","01-abr",25
"Distrito Federal","2013","F","01-abr",15
"Durango","2013","F","01-abr",291
"Guanajuato","2013","F","01-abr",1228
"Guerrero","2013","F","01-abr",2302
"Hidalgo","2013","F","01-abr",6
"Jalisco","2013","F","01-abr",1921
"México","2013","F","01-abr",560
"Michoacán","2013","F","01-abr",1432
"Morelos","2013","F","01-abr",1071
"Nayarit","2013","F","01-abr",560
"Nuevo León","2013","F","01-abr",6
"Oaxaca","2013","F","01-abr",187
"Puebla","2013","F","01-abr",451
"Querétaro","2013","F","01-abr",119
"Quintana Roo","2013","F","01-abr",6
"San Luis Potosí","2013","F","01-abr",10
"Sinaloa","2013","F","01-abr",356
"Sonora","2013","F","01-abr",278
"Tabasco","2013","F","01-abr",2
"Tamaulipas","2013","F","01-abr",20
"Tlaxcala","2013","F","01-abr",1
"Veracruz","2013","F","01-abr",6
"Yucatán","2013","F","01-abr",2
"Zacatecas","2013","F","01-abr",120
"Aguascalientes","2013","F","05-sep",92
"Baja California","2013","F","05-sep",11
"Baja California Sur","2013","F","05-sep",3
"Campeche","2013","F","05-sep",2
"Coahuila","2013","F","05-sep",9
"Colima","2013","F","05-sep",371
"Chiapas","2013","F","05-sep",13
"Chihuahua","2013","F","05-sep",13
"Distrito Federal","2013","F","05-sep",31
"Durango","2013","F","05-sep",356
"Guanajuato","2013","F","05-sep",1716
"Guerrero","2013","F","05-sep",2900
"Hidalgo","2013","F","05-sep",17
"Jalisco","2013","F","05-sep",2230
"México","2013","F","05-sep",642
"Michoacán","2013","F","05-sep",1620
"Morelos","2013","F","05-sep",1498
"Nayarit","2013","F","05-sep",590
"Nuevo León","2013","F","05-sep",7
"Oaxaca","2013","F","05-sep",255
"Puebla","2013","F","05-sep",508
"Querétaro","2013","F","05-sep",145
"Quintana Roo","2013","F","05-sep",1
"San Luis Potosí","2013","F","05-sep",14
"Sinaloa","2013","F","05-sep",372
"Sonora","2013","F","05-sep",314
"Tabasco","2013","F","05-sep",3
"Tamaulipas","2013","F","05-sep",20
"Tlaxcala","2013","F","05-sep",3
"Veracruz","2013","F","05-sep",3
"Yucatán","2013","F","05-sep",1
"Zacatecas","2013","F","05-sep",160
"Aguascalientes","2013","F","oct-14",104
"Baja California","2013","F","oct-14",3
"Baja California Sur","2013","F","oct-14",5
"Campeche","2013","F","oct-14",2
"Coahuila","2013","F","oct-14",11
"Colima","2013","F","oct-14",466
"Chiapas","2013","F","oct-14",16
"Chihuahua","2013","F","oct-14",23
"Distrito Federal","2013","F","oct-14",28
"Durango","2013","F","oct-14",499
"Guanajuato","2013","F","oct-14",2122
"Guerrero","2013","F","oct-14",3306
"Hidalgo","2013","F","oct-14",9
"Jalisco","2013","F","oct-14",2689
"México","2013","F","oct-14",665
"Michoacán","2013","F","oct-14",1927
"Morelos","2013","F","oct-14",1705
"Nayarit","2013","F","oct-14",740
"Nuevo León","2013","F","oct-14",9
"Oaxaca","2013","F","oct-14",285
"Puebla","2013","F","oct-14",679
"Querétaro","2013","F","oct-14",201
"Quintana Roo","2013","F","oct-14",2
"San Luis Potosí","2013","F","oct-14",11
"Sinaloa","2013","F","oct-14",531
"Sonora","2013","F","oct-14",344
"Tabasco","2013","F","oct-14",1
"Tamaulipas","2013","F","oct-14",30
"Tlaxcala","2013","F","oct-14",0
"Veracruz","2013","F","oct-14",4
"Yucatán","2013","F","oct-14",1
"Zacatecas","2013","F","oct-14",224
"Aguascalientes","2013","F","15 - 19",140
"Baja California","2013","F","15 - 19",5
"Baja California Sur","2013","F","15 - 19",4
"Campeche","2013","F","15 - 19",4
"Coahuila","2013","F","15 - 19",10
"Colima","2013","F","15 - 19",592
"Chiapas","2013","F","15 - 19",13
"Chihuahua","2013","F","15 - 19",25
"Distrito Federal","2013","F","15 - 19",30
"Durango","2013","F","15 - 19",568
"Guanajuato","2013","F","15 - 19",2035
"Guerrero","2013","F","15 - 19",3571
"Hidalgo","2013","F","15 - 19",17
"Jalisco","2013","F","15 - 19",2983
"México","2013","F","15 - 19",667
"Michoacán","2013","F","15 - 19",2103
"Morelos","2013","F","15 - 19",1968
"Nayarit","2013","F","15 - 19",740
"Nuevo León","2013","F","15 - 19",10
"Oaxaca","2013","F","15 - 19",320
"Puebla","2013","F","15 - 19",849
"Querétaro","2013","F","15 - 19",316
"Quintana Roo","2013","F","15 - 19",9
"San Luis Potosí","2013","F","15 - 19",24
"Sinaloa","2013","F","15 - 19",596
"Sonora","2013","F","15 - 19",406
"Tabasco","2013","F","15 - 19",2
"Tamaulipas","2013","F","15 - 19",35
"Tlaxcala","2013","F","15 - 19",2
"Veracruz","2013","F","15 - 19",9
"Yucatán","2013","F","15 - 19",6
"Zacatecas","2013","F","15 - 19",249
"Aguascalientes","2013","F","20 - 24",128
"Baja California","2013","F","20 - 24",13
"Baja California Sur","2013","F","20 - 24",8
"Campeche","2013","F","20 - 24",6
"Coahuila","2013","F","20 - 24",20
"Colima","2013","F","20 - 24",613
"Chiapas","2013","F","20 - 24",17
"Chihuahua","2013","F","20 - 24",24
"Distrito Federal","2013","F","20 - 24",42
"Durango","2013","F","20 - 24",565
"Guanajuato","2013","F","20 - 24",1976
"Guerrero","2013","F","20 - 24",3221
"Hidalgo","2013","F","20 - 24",21
"Jalisco","2013","F","20 - 24",2972
"México","2013","F","20 - 24",659
"Michoacán","2013","F","20 - 24",2181
"Morelos","2013","F","20 - 24",1901
"Nayarit","2013","F","20 - 24",865
"Nuevo León","2013","F","20 - 24",10
"Oaxaca","2013","F","20 - 24",341
"Puebla","2013","F","20 - 24",755
"Querétaro","2013","F","20 - 24",370
"Quintana Roo","2013","F","20 - 24",10
"San Luis Potosí","2013","F","20 - 24",34
"Sinaloa","2013","F","20 - 24",669
"Sonora","2013","F","20 - 24",353
"Tabasco","2013","F","20 - 24",3
"Tamaulipas","2013","F","20 - 24",27
"Tlaxcala","2013","F","20 - 24",4
"Veracruz","2013","F","20 - 24",18
"Yucatán","2013","F","20 - 24",2
"Zacatecas","2013","F","20 - 24",237
"Aguascalientes","2013","F","25 - 44",253
"Baja California","2013","F","25 - 44",35
"Baja California Sur","2013","F","25 - 44",7
"Campeche","2013","F","25 - 44",16
"Coahuila","2013","F","25 - 44",51
"Colima","2013","F","25 - 44",1706
"Chiapas","2013","F","25 - 44",76
"Chihuahua","2013","F","25 - 44",62
"Distrito Federal","2013","F","25 - 44",91
"Durango","2013","F","25 - 44",1484
"Guanajuato","2013","F","25 - 44",5481
"Guerrero","2013","F","25 - 44",8307
"Hidalgo","2013","F","25 - 44",43
"Jalisco","2013","F","25 - 44",8077
"México","2013","F","25 - 44",1520
"Michoacán","2013","F","25 - 44",5138
"Morelos","2013","F","25 - 44",4707
"Nayarit","2013","F","25 - 44",2076
"Nuevo León","2013","F","25 - 44",47
"Oaxaca","2013","F","25 - 44",862
"Puebla","2013","F","25 - 44",1823
"Querétaro","2013","F","25 - 44",1207
"Quintana Roo","2013","F","25 - 44",25
"San Luis Potosí","2013","F","25 - 44",68
"Sinaloa","2013","F","25 - 44",1724
"Sonora","2013","F","25 - 44",988
"Tabasco","2013","F","25 - 44",8
"Tamaulipas","2013","F","25 - 44",99
"Tlaxcala","2013","F","25 - 44",8
"Veracruz","2013","F","25 - 44",58
"Yucatán","2013","F","25 - 44",6
"Zacatecas","2013","F","25 - 44",562
"Aguascalientes","2013","F","45 - 49",67
"Baja California","2013","F","45 - 49",2
"Baja California Sur","2013","F","45 - 49",2
"Campeche","2013","F","45 - 49",3
"Coahuila","2013","F","45 - 49",2
"Colima","2013","F","45 - 49",286
"Chiapas","2013","F","45 - 49",17
"Chihuahua","2013","F","45 - 49",15
"Distrito Federal","2013","F","45 - 49",22
"Durango","2013","F","45 - 49",280
"Guanajuato","2013","F","45 - 49",872
"Guerrero","2013","F","45 - 49",1633
"Hidalgo","2013","F","45 - 49",7
"Jalisco","2013","F","45 - 49",1372
"México","2013","F","45 - 49",268
"Michoacán","2013","F","45 - 49",955
"Morelos","2013","F","45 - 49",877
"Nayarit","2013","F","45 - 49",486
"Nuevo León","2013","F","45 - 49",7
"Oaxaca","2013","F","45 - 49",206
"Puebla","2013","F","45 - 49",402
"Querétaro","2013","F","45 - 49",186
"Quintana Roo","2013","F","45 - 49",5
"San Luis Potosí","2013","F","45 - 49",14
"Sinaloa","2013","F","45 - 49",349
"Sonora","2013","F","45 - 49",173
"Tabasco","2013","F","45 - 49",0
"Tamaulipas","2013","F","45 - 49",16
"Tlaxcala","2013","F","45 - 49",5
"Veracruz","2013","F","45 - 49",8
"Yucatán","2013","F","45 - 49",1
"Zacatecas","2013","F","45 - 49",131
"Aguascalientes","2013","F","50 - 59",89
"Baja California","2013","F","50 - 59",5
"Baja California Sur","2013","F","50 - 59",4
"Campeche","2013","F","50 - 59",5
"Coahuila","2013","F","50 - 59",7
"Colima","2013","F","50 - 59",443
"Chiapas","2013","F","50 - 59",35
"Chihuahua","2013","F","50 - 59",13
"Distrito Federal","2013","F","50 - 59",24
"Durango","2013","F","50 - 59",371
"Guanajuato","2013","F","50 - 59",1350
"Guerrero","2013","F","50 - 59",2388
"Hidalgo","2013","F","50 - 59",10
"Jalisco","2013","F","50 - 59",2135
"México","2013","F","50 - 59",417
"Michoacán","2013","F","50 - 59",1316
"Morelos","2013","F","50 - 59",1348
"Nayarit","2013","F","50 - 59",601
"Nuevo León","2013","F","50 - 59",4
"Oaxaca","2013","F","50 - 59",319
"Puebla","2013","F","50 - 59",598
"Querétaro","2013","F","50 - 59",301
"Quintana Roo","2013","F","50 - 59",11
"San Luis Potosí","2013","F","50 - 59",28
"Sinaloa","2013","F","50 - 59",572
"Sonora","2013","F","50 - 59",338
"Tabasco","2013","F","50 - 59",2
"Tamaulipas","2013","F","50 - 59",25
"Tlaxcala","2013","F","50 - 59",4
"Veracruz","2013","F","50 - 59",15
"Yucatán","2013","F","50 - 59",4
"Zacatecas","2013","F","50 - 59",168
"Aguascalientes","2013","F","60 - 64",33
"Baja California","2013","F","60 - 64",2
"Baja California Sur","2013","F","60 - 64",1
"Campeche","2013","F","60 - 64",4
"Coahuila","2013","F","60 - 64",2
"Colima","2013","F","60 - 64",121
"Chiapas","2013","F","60 - 64",4
"Chihuahua","2013","F","60 - 64",4
"Distrito Federal","2013","F","60 - 64",4
"Durango","2013","F","60 - 64",173
"Guanajuato","2013","F","60 - 64",438
"Guerrero","2013","F","60 - 64",828
"Hidalgo","2013","F","60 - 64",6
"Jalisco","2013","F","60 - 64",705
"México","2013","F","60 - 64",158
"Michoacán","2013","F","60 - 64",469
"Morelos","2013","F","60 - 64",481
"Nayarit","2013","F","60 - 64",249
"Nuevo León","2013","F","60 - 64",2
"Oaxaca","2013","F","60 - 64",127
"Puebla","2013","F","60 - 64",277
"Querétaro","2013","F","60 - 64",95
"Quintana Roo","2013","F","60 - 64",1
"San Luis Potosí","2013","F","60 - 64",13
"Sinaloa","2013","F","60 - 64",186
"Sonora","2013","F","60 - 64",101
"Tabasco","2013","F","60 - 64",1
"Tamaulipas","2013","F","60 - 64",7
"Tlaxcala","2013","F","60 - 64",1
"Veracruz","2013","F","60 - 64",6
"Yucatán","2013","F","60 - 64",3
"Zacatecas","2013","F","60 - 64",80
"Aguascalientes","2013","F","65 y +",61
"Baja California","2013","F","65 y +",1
"Baja California Sur","2013","F","65 y +",0
"Campeche","2013","F","65 y +",4
"Coahuila","2013","F","65 y +",6
"Colima","2013","F","65 y +",265
"Chiapas","2013","F","65 y +",16
"Chihuahua","2013","F","65 y +",6
"Distrito Federal","2013","F","65 y +",7
"Durango","2013","F","65 y +",334
"Guanajuato","2013","F","65 y +",973
"Guerrero","2013","F","65 y +",1984
"Hidalgo","2013","F","65 y +",6
"Jalisco","2013","F","65 y +",1502
"México","2013","F","65 y +",345
"Michoacán","2013","F","65 y +",931
"Morelos","2013","F","65 y +",942
"Nayarit","2013","F","65 y +",464
"Nuevo León","2013","F","65 y +",8
"Oaxaca","2013","F","65 y +",315
"Puebla","2013","F","65 y +",627
"Querétaro","2013","F","65 y +",189
"Quintana Roo","2013","F","65 y +",3
"San Luis Potosí","2013","F","65 y +",19
"Sinaloa","2013","F","65 y +",367
"Sonora","2013","F","65 y +",195
"Tabasco","2013","F","65 y +",0
"Tamaulipas","2013","F","65 y +",19
"Tlaxcala","2013","F","65 y +",1
"Veracruz","2013","F","65 y +",8
"Yucatán","2013","F","65 y +",2
"Zacatecas","2013","F","65 y +",178
